Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1871-01-01,4.44,0.0216666666666667,0.4,12.46,5.32,105.90,0.516666666666667,9.54,
1871-02-01,4.5,0.0216666666666667,0.4,12.84,5.32,104.15,0.501666666666667,9.26,
1871-03-01,4.61,0.0216666666666667,0.4,13.03,5.33,105.14,0.494166666666667,9.12,
1871-04-01,4.74,0.0216666666666667,0.4,12.56,5.33,112.20,0.5125,9.47,
1871-05-01,4.86,0.0216666666666667,0.4,12.27,5.33,117.71,0.525,9.69,
1871-06-01,4.82,0.0216666666666667,0.4,12.08,5.34,118.58,0.533333333333333,9.84,
1871-07-01,4.73,0.0216666666666667,0.4,12.08,5.34,116.37,0.533333333333333,9.84,
1871-08-01,4.79,0.0216666666666667,0.4,11.89,5.34,119.73,0.541666666666667,10.00,
1871-09-01,4.84,0.0216666666666667,0.4,12.18,5.35,118.15,0.529166666666667,9.76,
1871-10-01,4.59,0.0216666666666667,0.4,12.37,5.35,110.32,0.520833333333333,9.61,
1871-11-01,4.64,0.0216666666666667,0.4,12.37,5.35,111.52,0.520833333333333,9.61,
1871-12-01,4.74,0.0216666666666667,0.4,12.65,5.36,111.36,0.509166666666667,9.40,
1872-01-01,4.86,0.0216666666666667,0.4,12.65,5.36,114.17,0.515833333333333,9.46,
1872-02-01,4.88,0.0316666666666667,0.41,12.65,5.38,114.64,0.581666666666666,9.51,
1872-03-01,5.04,0.0216666666666667,0.41,12.84,5.4,116.65,0.474166666666667,9.43,
1872-04-01,5.18,0.0216666666666667,0.41,13.13,5.42,117.28,0.4525,9.28,
1872-05-01,5.18,0.0316666666666667,0.41,13.13,5.43,117.28,0.594999999999999,9.34,
1872-06-01,5.13,0.0216666666666667,0.41,13.03,5.45,117.00,0.663333333333333,9.46,
1872-07-01,5.1,0.0216666666666667,0.42,12.84,5.47,118.04,0.703333333333333,9.66,
1872-08-01,5.04,0.0316666666666666,0.42,12.94,5.49,115.79,0.571666666666667,9.65,
1872-09-01,4.95,0.0216666666666667,0.42,13.03,5.51,112.89,0.549166666666667,9.64,
1872-10-01,4.97,0.0216666666666667,0.42,12.75,5.52,115.89,0.750833333333333,9.91,
1872-11-01,4.95,0.0316666666666667,0.43,13.13,5.54,112.08,0.400833333333333,9.68,
1872-12-01,5.07,0.0216666666666667,0.43,12.94,5.56,116.48,0.679166666666667,9.88,
1873-01-01,5.11,0.0216666666666667,0.43,12.94,5.58,117.40,0.575833333333334,9.94,
1873-02-01,5.15,0.0316666666666667,0.43,13.23,5.57,115.77,0.491666666666666,9.78,
1873-03-01,5.11,0.0316666666666667,0.44,13.23,5.56,114.87,0.524166666666667,9.83,
1873-04-01,5.04,0.0216666666666667,0.44,13.23,5.55,113.29,0.5125,9.89,
1873-05-01,5.05,0.0316666666666667,0.44,12.94,5.54,116.02,0.804999999999999,10.17,
1873-06-01,4.98,0.0316666666666667,0.45,12.56,5.53,117.88,0.943333333333333,10.53,
1873-07-01,4.97,0.0216666666666667,0.45,12.56,5.53,117.64,0.763333333333333,10.59,
1873-08-01,4.97,0.0316666666666666,0.45,12.56,5.52,117.64,0.621666666666668,10.65,
1873-09-01,4.59,0.0216666666666667,0.45,12.56,5.51,108.65,0.609166666666667,10.71,
1873-10-01,4.19,0.0316666666666667,0.46,12.27,5.5,101.49,0.990833333333333,11.02,
1873-11-01,4.04,0.0316666666666667,0.46,11.89,5.49,100.98,0.720833333333333,11.44,
1873-12-01,4.42,0.0216666666666667,0.46,12.18,5.48,107.89,0.549166666666668,11.23,
1874-01-01,4.66,0.0216666666666667,0.46,12.37,5.47,112.00,0.445833333333333,11.06,
1874-02-01,4.8,0.0316666666666667,0.46,12.37,5.44,115.37,0.491666666666666,11.06,
1874-03-01,4.73,0.0316666666666667,0.46,12.37,5.4,113.69,0.524166666666667,11.06,
1874-04-01,4.6,0.0216666666666667,0.46,12.18,5.37,112.29,0.642500000000001,11.23,
1874-05-01,4.48,0.0316666666666667,0.46,12.08,5.34,110.22,0.864999999999998,11.32,
1874-06-01,4.46,0.0316666666666667,0.46,11.8,5.3,112.38,1.14333333333333,11.59,
1874-07-01,4.46,0.0216666666666667,0.46,11.89,5.27,111.48,0.693333333333333,11.50,
1874-08-01,4.47,0.0316666666666666,0.46,11.8,5.24,112.63,0.691666666666668,11.59,
1874-09-01,4.54,0.0216666666666667,0.46,11.8,5.2,114.40,0.609166666666667,11.59,
1874-10-01,4.53,0.0316666666666667,0.46,11.61,5.17,116.02,1.12083333333333,11.78,
1874-11-01,4.57,0.0316666666666667,0.46,11.51,5.14,118.01,0.790833333333333,11.88,
1874-12-01,4.54,0.0216666666666667,0.46,11.51,5.1,117.23,0.549166666666668,11.88,
1875-01-01,4.54,0.0216666666666667,0.45,11.51,5.07,117.23,0.385833333333334,11.66,
1875-02-01,4.53,0.0316666666666667,0.44,11.51,5.03,116.98,0.421666666666666,11.45,
1875-03-01,4.59,0.0216666666666667,0.43,11.51,4.99,118.53,0.464166666666666,11.23,
1875-04-01,4.65,0.0216666666666667,0.43,11.61,4.95,119.09,0.5125,10.93,
1875-05-01,4.47,0.0316666666666667,0.42,11.32,4.91,117.37,1.005,10.98,
1875-06-01,4.38,0.0316666666666667,0.41,11.13,4.87,116.97,1.21333333333333,10.95,
1875-07-01,4.39,0.0116666666666667,0.4,11.13,4.83,117.24,0.633333333333332,10.73,
1875-08-01,4.41,0.0316666666666666,0.39,11.23,4.79,116.77,0.551666666666669,10.41,
1875-09-01,4.37,0.0216666666666667,0.39,11.13,4.75,116.70,0.609166666666667,10.28,
1875-10-01,4.3,0.0216666666666667,0.38,11.13,4.71,114.83,1.06083333333333,10.06,
1875-11-01,4.37,0.0316666666666667,0.37,11.04,4.67,117.71,0.790833333333333,9.92,
1875-12-01,4.37,0.0216666666666667,0.36,10.94,4.63,118.73,0.549166666666668,9.78,
1876-01-01,4.46,0.0216666666666667,0.35,10.85,4.59,122.24,0.455833333333335,9.68,
1876-02-01,4.52,0.0316666666666667,0.35,10.85,4.58,123.89,0.421666666666666,9.50,
1876-03-01,4.51,0.0216666666666667,0.34,10.85,4.57,123.61,0.464166666666666,9.32,
1876-04-01,4.34,0.0216666666666667,0.33,10.75,4.56,120.00,0.5925,9.22,
1876-05-01,4.18,0.0316666666666667,0.33,10.37,4.54,119.82,1.305,9.36,
1876-06-01,4.15,0.0316666666666667,0.32,10.09,4.53,122.33,1.45333333333333,9.43,
1876-07-01,4.1,0.0116666666666667,0.31,10.09,4.52,120.85,0.633333333333332,9.24,
1876-08-01,3.93,0.0316666666666666,0.31,10.18,4.51,114.76,0.471666666666669,8.96,
1876-09-01,3.69,0.0216666666666667,0.3,10.28,4.5,106.75,0.529166666666667,8.68,
1876-10-01,3.67,0.0216666666666667,0.29,10.47,4.49,104.25,0.900833333333332,8.33,
1876-11-01,3.6,0.0316666666666667,0.29,10.56,4.47,101.34,0.710833333333333,8.07,
1876-12-01,3.58,0.0216666666666667,0.28,10.75,4.46,98.99,0.409166666666669,7.74,
1877-01-01,3.55,0.0116666666666667,0.28,10.94,4.45,96.45,0.0558333333333343,7.65,
1877-02-01,3.34,0.0216666666666667,0.28,10.66,4.44,93.18,0.381666666666666,7.90,
1877-03-01,3.17,0.0116666666666667,0.28,10.18,4.43,92.57,0.564166666666666,8.32,
1877-04-01,2.94,0.0116666666666667,0.29,10.47,4.42,83.51,0.112500000000001,8.14,
1877-05-01,2.94,0.0216666666666667,0.29,10.66,4.41,82.02,0.914999999999997,8.04,
1877-06-01,2.73,0.0216666666666667,0.29,10.09,4.4,80.47,1.58333333333333,8.55,
1877-07-01,2.85,0.0116666666666667,0.29,10.18,4.39,83.22,0.303333333333332,8.52,
1877-08-01,3.05,0.0216666666666666,0.29,9.8,4.39,92.52,0.461666666666669,8.90,
1877-09-01,3.24,0.0116666666666667,0.29,9.7,4.38,99.25,0.309166666666667,9.04,
1877-10-01,3.31,0.0116666666666667,0.3,9.7,4.37,101.39,0.620833333333331,9.09,
1877-11-01,3.26,0.0216666666666667,0.3,9.51,4.36,101.86,0.550833333333333,9.32,
1877-12-01,3.25,0.0116666666666667,0.3,9.51,4.35,101.55,0.129166666666669,9.37,
1878-01-01,3.25,0.0116666666666667,0.3,9.23,4.34,104.69,0.205833333333334,9.69,
1878-02-01,3.18,0.0216666666666667,0.3,9.13,4.33,103.50,0.421666666666666,9.82,
1878-03-01,3.24,0.0116666666666667,0.3,8.94,4.32,107.70,0.664166666666667,10.06,
1878-04-01,3.33,0.0116666666666667,0.3,8.85,4.31,111.88,0.1525,10.19,
1878-05-01,3.34,0.0216666666666667,0.3,8.56,4.3,115.96,1.095,10.56,
1878-06-01,3.41,0.0116666666666667,0.3,8.37,4.29,121.08,1.70333333333333,10.83,
1878-07-01,3.48,0.0116666666666667,0.31,8.47,4.28,122.17,0.203333333333331,10.74,
1878-08-01,3.45,0.0216666666666666,0.31,8.56,4.27,119.77,0.35166666666667,10.65,
1878-09-01,3.52,0.0116666666666667,0.31,8.56,4.26,122.20,0.289166666666666,10.68,
1878-10-01,3.48,0.0116666666666667,0.31,8.47,4.25,122.17,0.660833333333331,10.82,
1878-11-01,3.47,0.0216666666666667,0.31,8.37,4.24,123.21,0.590833333333333,10.98,
