Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1871-01-01,4.44,0.26,0.4,12.46,5.32,105.90,6.20,9.54,
1871-02-01,4.5,0.26,0.4,12.84,5.32,104.15,6.02,9.26,
1871-03-01,4.61,0.26,0.4,13.03,5.33,105.14,5.93,9.12,
1871-04-01,4.74,0.26,0.4,12.56,5.33,112.20,6.15,9.47,
1871-05-01,4.86,0.26,0.4,12.27,5.33,117.71,6.30,9.69,
1871-06-01,4.82,0.26,0.4,12.08,5.34,118.58,6.40,9.84,
1871-07-01,4.73,0.26,0.4,12.08,5.34,116.37,6.40,9.84,
1871-08-01,4.79,0.26,0.4,11.89,5.34,119.73,6.50,10.00,
1871-09-01,4.84,0.26,0.4,12.18,5.35,118.15,6.35,9.76,
1871-10-01,4.59,0.26,0.4,12.37,5.35,110.32,6.25,9.61,
1871-11-01,4.64,0.26,0.4,12.37,5.35,111.52,6.25,9.61,
1871-12-01,4.74,0.26,0.4,12.65,5.36,111.36,6.11,9.40,
1872-01-01,4.86,0.26,0.4,12.65,5.36,114.17,6.19,9.46,
1872-02-01,4.88,0.27,0.41,12.65,5.38,114.64,6.27,9.51,
1872-03-01,5.04,0.27,0.41,12.84,5.4,116.65,6.25,9.43,
1872-04-01,5.18,0.27,0.41,13.13,5.42,117.28,6.19,9.28,
1872-05-01,5.18,0.28,0.41,13.13,5.43,117.28,6.26,9.34,
1872-06-01,5.13,0.28,0.41,13.03,5.45,117.00,6.39,9.46,
1872-07-01,5.1,0.28,0.42,12.84,5.47,118.04,6.56,9.66,
1872-08-01,5.04,0.29,0.42,12.94,5.49,115.79,6.59,9.65,
1872-09-01,4.95,0.29,0.42,13.03,5.51,112.89,6.61,9.64,
1872-10-01,4.97,0.29,0.42,12.75,5.52,115.89,6.84,9.91,
1872-11-01,4.95,0.3,0.43,13.13,5.54,112.08,6.72,9.68,
1872-12-01,5.07,0.3,0.43,12.94,5.56,116.48,6.89,9.88,
1873-01-01,5.11,0.3,0.43,12.94,5.58,117.40,6.95,9.94,
1873-02-01,5.15,0.3,0.43,13.23,5.57,115.77,6.86,9.78,
1873-03-01,5.11,0.31,0.44,13.23,5.56,114.87,6.91,9.83,
1873-04-01,5.04,0.31,0.44,13.23,5.55,113.29,6.97,9.89,
1873-05-01,5.05,0.31,0.44,12.94,5.54,116.02,7.18,10.17,
1873-06-01,4.98,0.32,0.45,12.56,5.53,117.88,7.46,10.53,
1873-07-01,4.97,0.32,0.45,12.56,5.53,117.64,7.52,10.59,
1873-08-01,4.97,0.32,0.45,12.56,5.52,117.64,7.57,10.65,
1873-09-01,4.59,0.32,0.45,12.56,5.51,108.65,7.63,10.71,
1873-10-01,4.19,0.33,0.46,12.27,5.5,101.49,7.87,11.02,
1873-11-01,4.04,0.33,0.46,11.89,5.49,100.98,8.19,11.44,
1873-12-01,4.42,0.33,0.46,12.18,5.48,107.89,8.06,11.23,
1874-01-01,4.66,0.33,0.46,12.37,5.47,112.00,7.93,11.06,
1874-02-01,4.8,0.33,0.46,12.37,5.44,115.37,7.93,11.06,
1874-03-01,4.73,0.33,0.46,12.37,5.4,113.69,7.93,11.06,
1874-04-01,4.6,0.33,0.46,12.18,5.37,112.29,8.06,11.23,
1874-05-01,4.48,0.33,0.46,12.08,5.34,110.22,8.12,11.32,
1874-06-01,4.46,0.33,0.46,11.8,5.3,112.38,8.32,11.59,
1874-07-01,4.46,0.33,0.46,11.89,5.27,111.48,8.25,11.50,
1874-08-01,4.47,0.33,0.46,11.8,5.24,112.63,8.32,11.59,
1874-09-01,4.54,0.33,0.46,11.8,5.2,114.40,8.32,11.59,
1874-10-01,4.53,0.33,0.46,11.61,5.17,116.02,8.45,11.78,
1874-11-01,4.57,0.33,0.46,11.51,5.14,118.01,8.52,11.88,
1874-12-01,4.54,0.33,0.46,11.51,5.1,117.23,8.52,11.88,
1875-01-01,4.54,0.33,0.45,11.51,5.07,117.23,8.46,11.66,
1875-02-01,4.53,0.33,0.44,11.51,5.03,116.98,8.39,11.45,
1875-03-01,4.59,0.32,0.43,11.51,4.99,118.53,8.33,11.23,
1875-04-01,4.65,0.32,0.43,11.61,4.95,119.09,8.20,10.93,
1875-05-01,4.47,0.32,0.42,11.32,4.91,117.37,8.34,10.98,
1875-06-01,4.38,0.32,0.41,11.13,4.87,116.97,8.41,10.95,
1875-07-01,4.39,0.31,0.4,11.13,4.83,117.24,8.35,10.73,
1875-08-01,4.41,0.31,0.39,11.23,4.79,116.77,8.21,10.41,
1875-09-01,4.37,0.31,0.39,11.13,4.75,116.70,8.21,10.28,
1875-10-01,4.3,0.3,0.38,11.13,4.71,114.83,8.15,10.06,
1875-11-01,4.37,0.3,0.37,11.04,4.67,117.71,8.15,9.92,
1875-12-01,4.37,0.3,0.36,10.94,4.63,118.73,8.15,9.78,
1876-01-01,4.46,0.3,0.35,10.85,4.59,122.24,8.22,9.68,
1876-02-01,4.52,0.3,0.35,10.85,4.58,123.89,8.22,9.50,
1876-03-01,4.51,0.3,0.34,10.85,4.57,123.61,8.22,9.32,
