Transation cost rates from https://papers.ssrn.com/sol3/papers.cfm?abstract_id=313681, Appendix Figure 4 (page 43)
1871,0.5
1873,0.5
1874,0.5
1875,0.5
1876,0.5
1877,0.5
1878,0.5
1879,0.5
1880,0.5
1881,0.5
1882,0.5
1883,0.5
1884,0.5
1885,0.5
1886,0.5
1887,0.5
1888,0.5
1889,0.5
1890,0.5
1891,0.5
1892,0.5
1893,0.5
1894,0.5
1895,0.5
1896,0.5
1897,0.5
1898,0.5
1899,0.5
1900,0.5
1901,0.5
1902,0.5
1903,0.5
1904,0.5
1905,0.5
1906,0.5
1907,0.5
1908,0.5
1909,0.5
1910,0.5
1911,0.5
1912,0.5
1913,0.5
1914,0.5
1915,0.5
1916,0.5
1917,0.5
1918,0.5
1919,0.5
1920,0.5
1921,0.5
1922,0.5
1923,0.5
1924,0.5
1925,0.5
1926,0.5
1927,0.5
1928,0.5
1929,0.5
1930,1
1931,1.4
1932,1
1933,0.9
1934,0.8
1935,0.7
1936,0.9
1937,0.9
1938,0.9
1939,1.1
1940,1.1
1941,1.1
1942,1
1943,1
1944,1
1945,1
1946,1
1947,1
1948,1
1949,1
1950,1
1951,1
1952,1
1953,1
1954,1
1955,1
1956,1
1957,1
1958,1
1959,1
1960,1
1961,1
1962,1
1963,1
1964,1
1965,1
1966,1
1967,1
1968,1
1969,1
1970,1
1971,1
1972,1.2
1973,1.2
1974,1.2
1975,0.8
1976,0.9
1977,1
1978,0.9
1979,0.8
1980,0.7
1981,0.6
1982,0.59
1983,0.58
1984,0.57
1985,0.56
1986,0.54
1987,0.53
1988,0.52
1989,0.51
1990,0.5
1991,0.46
1992,0.42
1993,0.38
1994,0.34
1995,0.30
1996,0.28
1997,0.26
1998,0.24
1999,0.22
2000,0.2
2001,0.2
2002,0.2
2003,0.2
2004,0.2
2005,0.2
2006,0.1
2007,0.1
2008,0.1
2009,0.1
2010,0.1
2011,0.1
2012,0.1
2013,0.1
2014,0.1
2015,0.1
2016,0.1
2017,0.1
2018,0.1
2019,0.1
2020,0.1
2021,0.1
2022,0.1
